prediction_track_ranking,data_subset,accuracy_top10,accuracy_top1,unk_eng_in_top10,unk_eng_avg_rank,ranking_quantile,ranking_quintile,ranking_decile,ranking_vigintile
1,All labs,0.9494317681261563,0.8193110739141926,0.9770945291163774,2.8885799649278163,0.0033444816053511705,1,1,1
1,Unknown Engineered only,1,0.7838785046728972,1,1.2062401187938723,0.0033444816053511705,1,1,1
1,Known labs only,0.9453072891853264,0.8222010481181515,0.9752262982372558,3.101823488312903,0.0033444816053511705,1,1,1
2,All labs,0.9443220861598097,0.7564091269491675,0.9957712976830235,2.8161095069161366,0.006688963210702341,1,1,1
2,Unknown Engineered only,1,0.6320093457943925,1,1.3835535832336117,0.006688963210702341,1,1,1
2,Known labs only,0.939780848022868,0.7665555026202954,0.9954263935207242,2.9841739867633947,0.006688963210702341,1,1,1
3,All labs,0.9344551140868645,0.6618800105717558,1,1.6970540783134067,0.010033444816053512,1,1,1
3,Unknown Engineered only,1,0.9030373831775701,1,1.0766353948936178,0.010033444816053512,1,1,1
3,Known labs only,0.9291090995712243,0.6422105764649834,1,1.7612242870445751,0.010033444816053512,1,1,1
4,All labs,0.929785921945203,0.796317505065633,0.9998238040701259,2.0421841279526722,0.013377926421404682,1,1,1
4,Unknown Engineered only,1,0.8539719626168224,1,1.1344696695935015,0.013377926421404682,1,1,1
4,Known labs only,0.9240590757503573,0.7916150547879943,0.9998094330633636,2.1424860578879765,0.013377926421404682,1,1,1
5,All labs,0.92899304026077,0.7842480838692626,0.9980618447713858,2.2918638245357856,0.016722408026755852,1,1,1
5,Unknown Engineered only,1,0.8049065420560748,1,1.173597768493546,0.016722408026755852,1,1,1
5,Known labs only,0.9232015245354931,0.7825631252977608,0.9979037636969986,2.4204526255967744,0.016722408026755852,1,1,1
6,All labs,0.9229142806801163,0.7637212580389393,0.9862567174698265,2.1364612586266274,0.020066889632107024,1,1,1
6,Unknown Engineered only,1,0.8796728971962616,1,1.110129485722399,0.020066889632107024,1,1,1
6,Known labs only,0.9166269652215341,0.7542639352072416,0.9851357789423535,2.2536425158521007,0.020066889632107024,1,1,1
7,All labs,0.9221213989956832,0.7664522949519866,0.9997357061051889,1.8460205745634806,0.023411371237458192,1,1,1
