source,accuracy_top_n,n
GEAC (2nd place),0.9617654832173377,28
GEAC (3rd place),0.9344551140868645,28
GEAC (4th place),0.9524270989340147,28
GEAC Ensemble,0.9721610430799048,28
Nielsen & Voigt (2018),0.795788917276011,28
Alley et al. (2020),0.8788652982116113,29
"BLAST (Alley et al., corrected)",0.885120253722139,29
"BLAST (Alley et al., original)",0.7971103867500661,29
BLAST (new),0.885120253722139,29
GEAC (1st place),0.9659060875693771,29
GEAC (2nd place),0.9623821689718968,29
GEAC (3rd place),0.9344551140868645,29
GEAC (4th place),0.9530437846885736,29
GEAC Ensemble,0.9725134349396529,29
Nielsen & Voigt (2018),0.7980794643643732,29
Alley et al. (2020),0.8801867676856665,30
"BLAST (Alley et al., corrected)",0.8866179191260681,30
"BLAST (Alley et al., original)",0.7975508765747511,30
BLAST (new),0.8866179191260681,30
GEAC (1st place),0.9664346753589992,30
GEAC (2nd place),0.9628226587965818,30
GEAC (3rd place),0.9344551140868645,30
GEAC (4th place),0.9534842745132588,30
GEAC Ensemble,0.9726896308695269,30
Nielsen & Voigt (2018),0.8008105012774205,30
Alley et al. (2020),0.8808915514051625,31
"BLAST (Alley et al., corrected)",0.8874108008105013,31
"BLAST (Alley et al., original)",0.7985199541890582,31
BLAST (new),0.8874108008105013,31
GEAC (1st place),0.9667870672187473,31
GEAC (2nd place),0.9630869526913929,31
GEAC (3rd place),0.9344551140868645,31
GEAC (4th place),0.9540128623028808,31
GEAC Ensemble,0.9727777288344639,31
Nielsen & Voigt (2018),0.8030129504008457,31
Alley et al. (2020),0.8817725310545327,32
"BLAST (Alley et al., corrected)",0.8879393886001233,32
"BLAST (Alley et al., original)",0.7991366399436173,32
BLAST (new),0.8879393886001233,32
GEAC (1st place),0.9674037529733063,32
GEAC (2nd place),0.9637036384459519,32
GEAC (3rd place),0.9344551140868645,32
GEAC (4th place),0.9548938419522509,32
GEAC Ensemble,0.97348251255396,32
Nielsen & Voigt (2018),0.8048630076645229,32
Alley et al. (2020),0.8827416086688398,33
"BLAST (Alley et al., corrected)",0.8882917804598713,33
"BLAST (Alley et al., original)",0.7996652277332393,33
BLAST (new),0.8882917804598713,33
GEAC (1st place),0.9678442427979914,33
GEAC (2nd place),0.963967932340763,33
GEAC (3rd place),0.9344551140868645,33
GEAC (4th place),0.9553343317769359,33
GEAC Ensemble,0.973923002378645,33
Nielsen & Voigt (2018),0.8061844771385781,33
Alley et al. (2020),0.8839749801779578,34
"BLAST (Alley et al., corrected)",0.8885560743546824,34
"BLAST (Alley et al., original)",0.7997533256981764,34
BLAST (new),0.8885560743546824,34
GEAC (1st place),0.9684609285525504,34
GEAC (2nd place),0.964320324200511,34
GEAC (3rd place),0.9344551140868645,34
GEAC (4th place),0.956215311426306,34
GEAC Ensemble,0.9740991983085191,34
Nielsen & Voigt (2018),0.8082988282970663,34
Alley et al. (2020),0.884855959827328,35
"BLAST (Alley et al., corrected)",0.8889084662144304,35
"BLAST (Alley et al., original)",0.8001938155228614,35
BLAST (new),0.8889084662144304,35
GEAC (1st place),0.9689014183772355,35
GEAC (2nd place),0.9650251079200071,35
GEAC (3rd place),0.9344551140868645,35
GEAC (4th place),0.9567438992159281,35
GEAC Ensemble,0.9743634922033301,35
Nielsen & Voigt (2018),0.8100607875958066,35
Alley et al. (2020),0.885560743546824,36
"BLAST (Alley et al., corrected)",0.8894370540040525,36
"BLAST (Alley et al., original)",0.8003700114527355,36
BLAST (new),0.8894370540040525,36
GEAC (1st place),0.9692538102369835,36
GEAC (2nd place),0.9655536957096291,36
GEAC (3rd place),0.9344551140868645,36
GEAC (4th place),0.9578010747951722,36
GEAC Ensemble,0.9747158840630782,36
Nielsen & Voigt (2018),0.8119108448594837,36
Alley et al. (2020),0.8862655272663201,37
"BLAST (Alley et al., corrected)",0.8897894458638006,37
"BLAST (Alley et al., original)",0.8009866972072945,37
BLAST (new),0.8897894458638006,37
GEAC (1st place),0.9698704959915426,37
GEAC (2nd place),0.9664346753589992,37
GEAC (3rd place),0.9344551140868645,37
GEAC (4th place),0.9578891727601092,37
GEAC Ensemble,0.9751563738877632,37
Nielsen & Voigt (2018),0.813672804158224,37
Alley et al. (2020),0.8873227028455642,38
"BLAST (Alley et al., corrected)",0.8906704255131707,38
"BLAST (Alley et al., original)",0.8013390890670425,38
BLAST (new),0.8906704255131707,38
GEAC (1st place),0.9704871817461017,38
GEAC (2nd place),0.9668751651836842,38
GEAC (3rd place),0.9344551140868645,38
GEAC (4th place),0.9581534666549203,38
GEAC Ensemble,0.9754206677825742,38
Nielsen & Voigt (2018),0.8148180777024051,38
Alley et al. (2020),0.8881155845299974,39
"BLAST (Alley et al., corrected)",0.8918156990573518,39
"BLAST (Alley et al., original)",0.8029248524359087,39
BLAST (new),0.8918156990573518,39
GEAC (1st place),0.9711919654655977,39
GEAC (2nd place),0.9673156550083694,39
GEAC (3rd place),0.9344551140868645,39
GEAC (4th place),0.9585939564796053,39
GEAC Ensemble,0.9759492555721963,39
Nielsen & Voigt (2018),0.8167562329310193,39
Alley et al. (2020),0.8889084662144304,40
"BLAST (Alley et al., corrected)",0.8924323848119109,40
"BLAST (Alley et al., original)",0.8063606730684522,40
BLAST (new),0.8924323848119109,40
GEAC (1st place),0.9712800634305347,40
GEAC (2nd place),0.9674918509382433,40
GEAC (3rd place),0.9344551140868645,40
GEAC (4th place),0.9592106422341644,40
GEAC Ensemble,0.9764778433618183,40
Nielsen & Voigt (2018),0.8182538983349484,40
Alley et al. (2020),0.8893489560391155,41
"BLAST (Alley et al., corrected)",0.8928728746365959,41
"BLAST (Alley et al., original)",0.8068011628931372,41
BLAST (new),0.8928728746365959,41
GEAC (1st place),0.9718086512201568,41
GEAC (2nd place),0.9675799489031803,41
GEAC (3rd place),0.9344551140868645,41
GEAC (4th place),0.9594749361289754,41
GEAC Ensemble,0.9766540392916924,41
Nielsen & Voigt (2018),0.8195753678090036,41
Alley et al. (2020),0.8897894458638006,42
"BLAST (Alley et al., corrected)",0.8931371685314069,42
"BLAST (Alley et al., original)",0.8071535547528852,42
BLAST (new),0.8931371685314069,42
GEAC (1st place),0.9720729451149679,42
GEAC (2nd place),0.9677561448330544,42
GEAC (3rd place),0.9344551140868645,42
GEAC (4th place),0.9595630340939124,42
GEAC Ensemble,0.9769183331865033,42
Nielsen & Voigt (2018),0.8208087393181217,42
Alley et al. (2020),0.8909347194079816,43
"BLAST (Alley et al., corrected)",0.893753854285966,43
"BLAST (Alley et al., original)",0.8072416527178222,43
BLAST (new),0.893753854285966,43
GEAC (1st place),0.9722491410448418,43
GEAC (2nd place),0.9678442427979914,43
GEAC (3rd place),0.9344551140868645,43
GEAC (4th place),0.9601797198484715,43
GEAC Ensemble,0.9770064311514404,43
Nielsen & Voigt (2018),0.822306404722051,43
Alley et al. (2020),0.8914633071976037,44
"BLAST (Alley et al., corrected)",0.8940181481807771,44
"BLAST (Alley et al., original)",0.8076821425425073,44
BLAST (new),0.8940181481807771,44
GEAC (1st place),0.9726896308695269,44
GEAC (2nd place),0.9681966346577394,44
GEAC (3rd place),0.9344551140868645,44
GEAC (4th place),0.9607083076380936,44
GEAC Ensemble,0.9773588230111885,44
Nielsen & Voigt (2018),0.8245088538454761,44
Alley et al. (2020),0.8919918949872258,45
"BLAST (Alley et al., corrected)",0.8947229319002731,45
"BLAST (Alley et al., original)",0.8079464364373183,45
BLAST (new),0.8947229319002731,45
GEAC (1st place),0.9727777288344639,45
GEAC (2nd place),0.9681966346577394,45
GEAC (3rd place),0.9344551140868645,45
GEAC (4th place),0.9611487974627786,45
GEAC Ensemble,0.9775350189410624,45
Nielsen & Voigt (2018),0.8255660294247202,45
Alley et al. (2020),0.8926085807417848,46
"BLAST (Alley et al., corrected)",0.8950753237600212,46
"BLAST (Alley et al., original)",0.8085631221918773,46
BLAST (new),0.8950753237600212,46
GEAC (1st place),0.973042022729275,46
GEAC (2nd place),0.9683728305876135,46
GEAC (3rd place),0.9344551140868645,46
GEAC (4th place),0.9615011893225266,46
GEAC Ensemble,0.9777112148709365,46
Nielsen & Voigt (2018),0.8268874988987754,46
Alley et al. (2020),0.893665756321029,47
"BLAST (Alley et al., corrected)",0.8956039115496433,47
"BLAST (Alley et al., original)",0.8090036120165625,47
BLAST (new),0.8956039115496433,47
GEAC (1st place),0.973394414589023,47
GEAC (2nd place),0.9685490265174874,47
GEAC (3rd place),0.9344551140868645,47
GEAC (4th place),0.9618535811822747,47
GEAC Ensemble,0.9779755087657475,47
Nielsen & Voigt (2018),0.8285613602325786,47
Alley et al. (2020),0.894282442075588,48
"BLAST (Alley et al., corrected)",0.8960444013743283,48
"BLAST (Alley et al., original)",0.8101488855607435,48
BLAST (new),0.8960444013743283,48
GEAC (1st place),0.9736587084838341,48
GEAC (2nd place),0.9687252224473615,48
GEAC (3rd place),0.9344551140868645,48
GEAC (4th place),0.9622059730420227,48
GEAC Ensemble,0.9781517046956215,48
Nielsen & Voigt (2018),0.8292661439520747,48
Alley et al. (2020),0.8949872257950842,49
"BLAST (Alley et al., corrected)",0.8964848911990133,49
"BLAST (Alley et al., original)",0.8105012774204916,49
BLAST (new),0.8964848911990133,49
GEAC (1st place),0.973834904413708,49
GEAC (2nd place),0.9690776143071095,49
GEAC (3rd place),0.9344551140868645,49
GEAC (4th place),0.9626464628667077,49
GEAC Ensemble,0.9781517046956215,49
Nielsen & Voigt (2018),0.8304995154611928,49
Alley et al. (2020),0.8956039115496433,50
"BLAST (Alley et al., corrected)",0.8973658708483834,50
"BLAST (Alley et al., original)",0.8108536692802396,50
BLAST (new),0.8973658708483834,50
GEAC (1st place),0.9741872962734561,50
GEAC (2nd place),0.9691657122720465,50
GEAC (3rd place),0.9344551140868645,50
GEAC (4th place),0.9630869526913929,50
GEAC Ensemble,0.9782398026605585,50
Nielsen & Voigt (2018),0.8314685930754999,50
Alley et al. (2020),0.8959563034093913,51
"BLAST (Alley et al., corrected)",0.8977182627081315,51
"BLAST (Alley et al., original)",0.8109417672451766,51
BLAST (new),0.8977182627081315,51
GEAC (1st place),0.9743634922033301,51
GEAC (2nd place),0.9694300061668576,51
GEAC (3rd place),0.9344551140868645,51
GEAC (4th place),0.9632631486212668,51
GEAC Ensemble,0.9784159985904326,51
Nielsen & Voigt (2018),0.8327019645846181,51
Alley et al. (2020),0.8967491850938243,52
"BLAST (Alley et al., corrected)",0.8978944586380054,52
"BLAST (Alley et al., original)",0.8112941591049246,52
BLAST (new),0.8978944586380054,52
GEAC (1st place),0.9747158840630782,52
GEAC (2nd place),0.9697823980266056,52
GEAC (3rd place),0.9344551140868645,52
GEAC (4th place),0.9633512465862039,52
GEAC Ensemble,0.9785921945203065,52
Nielsen & Voigt (2018),0.8333186503391772,52
Alley et al. (2020),0.8973658708483834,53
"BLAST (Alley et al., corrected)",0.8980706545678795,53
"BLAST (Alley et al., original)",0.8117346489296098,53
BLAST (new),0.8980706545678795,53
GEAC (1st place),0.9748920799929521,53
GEAC (2nd place),0.9701347898863536,53
GEAC (3rd place),0.9344551140868645,53
GEAC (4th place),0.9638798343758259,53
GEAC Ensemble,0.9787683904501806,53
Nielsen & Voigt (2018),0.8349044137080434,53
Alley et al. (2020),0.8975420667782574,54
"BLAST (Alley et al., corrected)",0.8983349484626905,54
"BLAST (Alley et al., original)",0.8119989428244208,54
BLAST (new),0.8983349484626905,54
GEAC (1st place),0.9749801779578892,54
GEAC (2nd place),0.9702228878512906,54
GEAC (3rd place),0.9344551140868645,54
GEAC (4th place),0.9640560303057,54
GEAC Ensemble,0.9791207823099286,54
Nielsen & Voigt (2018),0.8364020791119725,54
Alley et al. (2020),0.8980706545678795,55
"BLAST (Alley et al., corrected)",0.8984230464276275,55
"BLAST (Alley et al., original)",0.8121751387542948,55
BLAST (new),0.8984230464276275,55
GEAC (1st place),0.9749801779578892,55
GEAC (2nd place),0.9705752797110386,55
GEAC (3rd place),0.9344551140868645,55
GEAC (4th place),0.964320324200511,55
GEAC Ensemble,0.9792969782398027,55
Nielsen & Voigt (2018),0.8378116465509646,55
Alley et al. (2020),0.8985992423575015,56
"BLAST (Alley et al., corrected)",0.8987754382873756,56
"BLAST (Alley et al., original)",0.8122632367192318,56
BLAST (new),0.8987754382873756,56
GEAC (1st place),0.9750682759228262,56
GEAC (2nd place),0.9710157695357238,56
GEAC (3rd place),0.9344551140868645,56
GEAC (4th place),0.9646727160602591,56
GEAC Ensemble,0.9793850762047397,56
Nielsen & Voigt (2018),0.8391331160250198,56
Alley et al. (2020),0.8989516342172496,57
"BLAST (Alley et al., corrected)",0.8991278301471236,57
"BLAST (Alley et al., original)",0.8123513346841688,57
BLAST (new),0.8991278301471236,57
GEAC (1st place),0.9753325698176372,57
GEAC (2nd place),0.9711038675006607,57
GEAC (3rd place),0.9344551140868645,57
GEAC (4th place),0.9650251079200071,57
GEAC Ensemble,0.9794731741696767,57
Nielsen & Voigt (2018),0.8397498017795789,57
Alley et al. (2020),0.8993040260769977,58
"BLAST (Alley et al., corrected)",0.8994802220068716,58
"BLAST (Alley et al., original)",0.8124394326491058,58
BLAST (new),0.8994802220068716,58
GEAC (1st place),0.9754206677825742,58
GEAC (2nd place),0.9716324552902827,58
GEAC (3rd place),0.9344551140868645,58
GEAC (4th place),0.965289401814818,58
GEAC Ensemble,0.9795612721346136,58
Nielsen & Voigt (2018),0.840806977358823,58
Alley et al. (2020),0.8998326138666197,59
"BLAST (Alley et al., corrected)",0.8995683199718086,59
"BLAST (Alley et al., original)",0.8127037265439169,59
BLAST (new),0.8995683199718086,59
GEAC (1st place),0.9756849616773853,59
GEAC (2nd place),0.9719848471500309,59
GEAC (3rd place),0.9344551140868645,59
GEAC (4th place),0.965289401814818,59
GEAC Ensemble,0.9796493700995507,59
Nielsen & Voigt (2018),0.8415998590432561,59
Alley et al. (2020),0.9004492996211787,60
"BLAST (Alley et al., corrected)",0.9009778874108008,60
"BLAST (Alley et al., original)",0.8131442163686019,60
BLAST (new),0.9009778874108008,60
GEAC (1st place),0.9758611576072592,60
GEAC (2nd place),0.9721610430799048,60
GEAC (3rd place),0.9344551140868645,60
GEAC (4th place),0.9657298916395032,60
GEAC Ensemble,0.97991366399436175,60
Nielsen & Voigt (2018),0.8423927407276892,60
Alley et al. (2020),0.9008016914809268,61
"BLAST (Alley et al., corrected)",0.9011540833406748,61
"BLAST (Alley et al., original)",0.8135847061932869,61
BLAST (new),0.9011540833406748,61
GEAC (1st place),0.9762135494670073,61
GEAC (2nd place),0.9724253369747159,61
GEAC (3rd place),0.9344551140868645,61
GEAC (4th place),0.9658179896044401,61
GEAC Ensemble,0.97991366399436175,61
Nielsen & Voigt (2018),0.8437142102017443,61
Alley et al. (2020),0.9011540833406748,62
"BLAST (Alley et al., corrected)",0.9014183772354859,62
"BLAST (Alley et al., original)",0.813849000088098,62
BLAST (new),0.9014183772354859,62
GEAC (1st place),0.9768302352215664,62
GEAC (2nd place),0.9727777288344639,62
GEAC (3rd place),0.9344551140868645,62
GEAC (4th place),0.9658179896044401,62
GEAC Ensemble,0.9800017619592988,62
Nielsen & Voigt (2018),0.8443308959563034,62
Alley et al. (2020),0.901946965025108,63
"BLAST (Alley et al., corrected)",0.9021231609549819,63
"BLAST (Alley et al., original)",0.814025196017972,63
BLAST (new),0.9021231609549819,63
GEAC (1st place),0.9770064311514404,63
GEAC (2nd place),0.9728658267994009,63
GEAC (3rd place),0.9344551140868645,63
GEAC (4th place),0.9663465773940622,63
GEAC Ensemble,0.9801779578891727,63
Nielsen & Voigt (2018),0.8452118756056735,63
Alley et al. (2020),0.9021231609549819,64
"BLAST (Alley et al., corrected)",0.902387454849793,64
"BLAST (Alley et al., original)",0.8143775878777201,64
